obs_space:  [Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32), Box(-inf, inf, (12,), float32)]
share_obs_space:  [Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32), Box(-inf, inf, (360,), float32)]
act_space:  [Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32), Box(-1.0, 1.0, (3,), float32)]
act high:  [1. 1. 1.]
obs_dim:  12
share_obs_dim:  360
act_dim:  3
[Progress] Iter 1/1000 | avg_reward=78.3487 | p2p_mean=0.0991 | grid_buy_mean=3.2171 | grid_sell_mean=0.4683 | carbon_resp_mean=1.9210 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000100 | entropy_coef=0.0300
[Progress] Iter 75/1000 | avg_reward=78.1931 | p2p_mean=0.0512 | grid_buy_mean=3.1873 | grid_sell_mean=0.5065 | carbon_resp_mean=1.9842 | carbon_price=50.0000 | avg_agents=25.00 | lr=0.000093 | entropy_coef=0.0300
[Progress] Iter 80/1000 | avg_reward=77.7256 | p2p_mean=0.0689 | grid_buy_mean=3.1695 | grid_sell_mean=0.5186 | carbon_resp_mean=1.9675 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000092 | entropy_coef=0.0300
[Progress] Iter 85/1000 | avg_reward=79.2369 | p2p_mean=0.0897 | grid_buy_mean=3.1200 | grid_sell_mean=0.4838 | carbon_resp_mean=1.9172 | carbon_price=50.0000 | avg_agents=27.00 | lr=0.000092 | entropy_coef=0.0300
[Progress] Iter 90/1000 | avg_reward=77.5355 | p2p_mean=0.0658 | grid_buy_mean=3.0977 | grid_sell_mean=0.5184 | carbon_resp_mean=1.9353 | carbon_price=50.0000 | avg_agents=25.25 | lr=0.000091 | entropy_coef=0.0300
[Progress] Iter 95/1000 | avg_reward=77.3861 | p2p_mean=0.0648 | grid_buy_mean=3.0319 | grid_sell_mean=0.5102 | carbon_resp_mean=1.8715 | carbon_price=50.0000 | avg_agents=24.75 | lr=0.000091 | entropy_coef=0.0300
[Progress] Iter 100/1000 | avg_reward=79.1071 | p2p_mean=0.0851 | grid_buy_mean=3.0404 | grid_sell_mean=0.4663 | carbon_resp_mean=1.8726 | carbon_price=50.0000 | avg_agents=23.50 | lr=0.000090 | entropy_coef=0.0300
[Progress] Iter 105/1000 | avg_reward=80.3400 | p2p_mean=0.1199 | grid_buy_mean=3.0720 | grid_sell_mean=0.4581 | carbon_resp_mean=1.9016 | carbon_price=50.0000 | avg_agents=27.00 | lr=0.000090 | entropy_coef=0.0300
[Progress] Iter 110/1000 | avg_reward=81.2252 | p2p_mean=0.1070 | grid_buy_mean=3.1014 | grid_sell_mean=0.4166 | carbon_resp_mean=1.9147 | carbon_price=50.0000 | avg_agents=24.50 | lr=0.000089 | entropy_coef=0.0300
[Progress] Iter 115/1000 | avg_reward=82.7885 | p2p_mean=0.1004 | grid_buy_mean=3.0721 | grid_sell_mean=0.3726 | carbon_resp_mean=1.9043 | carbon_price=50.0000 | avg_agents=26.25 | lr=0.000089 | entropy_coef=0.0300
[Progress] Iter 120/1000 | avg_reward=81.6334 | p2p_mean=0.0780 | grid_buy_mean=3.0567 | grid_sell_mean=0.3919 | carbon_resp_mean=1.9034 | carbon_price=50.0000 | avg_agents=26.25 | lr=0.000088 | entropy_coef=0.0300
[Progress] Iter 125/1000 | avg_reward=82.9915 | p2p_mean=0.0639 | grid_buy_mean=3.0343 | grid_sell_mean=0.3304 | carbon_resp_mean=1.8778 | carbon_price=50.0000 | avg_agents=27.75 | lr=0.000088 | entropy_coef=0.0300
[Progress] Iter 130/1000 | avg_reward=83.2717 | p2p_mean=0.0732 | grid_buy_mean=2.9462 | grid_sell_mean=0.3484 | carbon_resp_mean=1.8540 | carbon_price=50.0000 | avg_agents=26.00 | lr=0.000087 | entropy_coef=0.0300
[Progress] Iter 135/1000 | avg_reward=83.5360 | p2p_mean=0.0800 | grid_buy_mean=2.8726 | grid_sell_mean=0.3296 | carbon_resp_mean=1.7938 | carbon_price=50.0000 | avg_agents=28.00 | lr=0.000087 | entropy_coef=0.0300
[Progress] Iter 140/1000 | avg_reward=85.8814 | p2p_mean=0.0830 | grid_buy_mean=2.9128 | grid_sell_mean=0.2756 | carbon_resp_mean=1.8040 | carbon_price=50.0000 | avg_agents=25.75 | lr=0.000086 | entropy_coef=0.0300
[Progress] Iter 145/1000 | avg_reward=87.1450 | p2p_mean=0.0760 | grid_buy_mean=2.8275 | grid_sell_mean=0.2496 | carbon_resp_mean=1.7547 | carbon_price=50.0000 | avg_agents=25.75 | lr=0.000086 | entropy_coef=0.0300
[Progress] Iter 150/1000 | avg_reward=86.6356 | p2p_mean=0.0558 | grid_buy_mean=2.8718 | grid_sell_mean=0.2687 | carbon_resp_mean=1.7704 | carbon_price=50.0000 | avg_agents=24.00 | lr=0.000085 | entropy_coef=0.0300
[Progress] Iter 155/1000 | avg_reward=87.4519 | p2p_mean=0.0624 | grid_buy_mean=2.7801 | grid_sell_mean=0.2550 | carbon_resp_mean=1.7144 | carbon_price=50.0000 | avg_agents=26.25 | lr=0.000085 | entropy_coef=0.0300
[Progress] Iter 160/1000 | avg_reward=87.7994 | p2p_mean=0.0673 | grid_buy_mean=2.9083 | grid_sell_mean=0.2449 | carbon_resp_mean=1.7741 | carbon_price=50.0000 | avg_agents=25.00 | lr=0.000084 | entropy_coef=0.0300
[Progress] Iter 165/1000 | avg_reward=87.7756 | p2p_mean=0.0596 | grid_buy_mean=2.8622 | grid_sell_mean=0.2528 | carbon_resp_mean=1.7584 | carbon_price=50.0000 | avg_agents=25.50 | lr=0.000084 | entropy_coef=0.0300
[Progress] Iter 170/1000 | avg_reward=88.9776 | p2p_mean=0.0634 | grid_buy_mean=2.8366 | grid_sell_mean=0.2219 | carbon_resp_mean=1.7296 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000083 | entropy_coef=0.0300
[Progress] Iter 175/1000 | avg_reward=89.4566 | p2p_mean=0.0860 | grid_buy_mean=2.7483 | grid_sell_mean=0.2200 | carbon_resp_mean=1.6720 | carbon_price=50.0000 | avg_agents=23.00 | lr=0.000083 | entropy_coef=0.0300
[Progress] Iter 180/1000 | avg_reward=89.6393 | p2p_mean=0.0907 | grid_buy_mean=2.7775 | grid_sell_mean=0.2279 | carbon_resp_mean=1.6991 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000082 | entropy_coef=0.0300
[Progress] Iter 185/1000 | avg_reward=90.8179 | p2p_mean=0.1331 | grid_buy_mean=2.8518 | grid_sell_mean=0.2104 | carbon_resp_mean=1.7355 | carbon_price=50.0000 | avg_agents=24.75 | lr=0.000082 | entropy_coef=0.0300
[Progress] Iter 190/1000 | avg_reward=90.1150 | p2p_mean=0.1014 | grid_buy_mean=2.8184 | grid_sell_mean=0.2010 | carbon_resp_mean=1.7323 | carbon_price=50.0000 | avg_agents=24.50 | lr=0.000081 | entropy_coef=0.0300
[Progress] Iter 195/1000 | avg_reward=89.4936 | p2p_mean=0.0760 | grid_buy_mean=2.9042 | grid_sell_mean=0.2210 | carbon_resp_mean=1.7797 | carbon_price=50.0000 | avg_agents=24.00 | lr=0.000081 | entropy_coef=0.0300
[Progress] Iter 200/1000 | avg_reward=88.3207 | p2p_mean=0.0711 | grid_buy_mean=2.8554 | grid_sell_mean=0.2337 | carbon_resp_mean=1.7534 | carbon_price=50.0000 | avg_agents=25.75 | lr=0.000080 | entropy_coef=0.0300
[Progress] Iter 205/1000 | avg_reward=87.3043 | p2p_mean=0.0640 | grid_buy_mean=2.8211 | grid_sell_mean=0.2555 | carbon_resp_mean=1.7533 | carbon_price=50.0000 | avg_agents=24.75 | lr=0.000080 | entropy_coef=0.0300
[Progress] Iter 210/1000 | avg_reward=88.5942 | p2p_mean=0.0517 | grid_buy_mean=2.8992 | grid_sell_mean=0.2229 | carbon_resp_mean=1.7948 | carbon_price=50.0000 | avg_agents=23.75 | lr=0.000079 | entropy_coef=0.0300
[Progress] Iter 215/1000 | avg_reward=87.8279 | p2p_mean=0.0621 | grid_buy_mean=2.8157 | grid_sell_mean=0.2442 | carbon_resp_mean=1.7320 | carbon_price=50.0000 | avg_agents=24.25 | lr=0.000079 | entropy_coef=0.0300
[Progress] Iter 220/1000 | avg_reward=89.0875 | p2p_mean=0.0781 | grid_buy_mean=2.8321 | grid_sell_mean=0.2233 | carbon_resp_mean=1.7376 | carbon_price=50.0000 | avg_agents=24.75 | lr=0.000078 | entropy_coef=0.0300
[Progress] Iter 225/1000 | avg_reward=88.4857 | p2p_mean=0.0664 | grid_buy_mean=2.8912 | grid_sell_mean=0.2195 | carbon_resp_mean=1.7719 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000078 | entropy_coef=0.0300
[Progress] Iter 230/1000 | avg_reward=89.1498 | p2p_mean=0.0915 | grid_buy_mean=2.8084 | grid_sell_mean=0.2194 | carbon_resp_mean=1.7087 | carbon_price=50.0000 | avg_agents=25.00 | lr=0.000077 | entropy_coef=0.0300
[Progress] Iter 235/1000 | avg_reward=89.4341 | p2p_mean=0.0864 | grid_buy_mean=2.8488 | grid_sell_mean=0.2190 | carbon_resp_mean=1.7451 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000077 | entropy_coef=0.0300
[Progress] Iter 240/1000 | avg_reward=89.2343 | p2p_mean=0.0895 | grid_buy_mean=2.7843 | grid_sell_mean=0.2289 | carbon_resp_mean=1.7131 | carbon_price=50.0000 | avg_agents=25.50 | lr=0.000076 | entropy_coef=0.0300
[Progress] Iter 245/1000 | avg_reward=89.6411 | p2p_mean=0.0671 | grid_buy_mean=2.8886 | grid_sell_mean=0.2063 | carbon_resp_mean=1.7718 | carbon_price=50.0000 | avg_agents=27.25 | lr=0.000076 | entropy_coef=0.0300
[Progress] Iter 250/1000 | avg_reward=90.6997 | p2p_mean=0.0849 | grid_buy_mean=2.9308 | grid_sell_mean=0.2131 | carbon_resp_mean=1.7893 | carbon_price=50.0000 | avg_agents=22.75 | lr=0.000075 | entropy_coef=0.0300
[Progress] Iter 255/1000 | avg_reward=90.0614 | p2p_mean=0.1005 | grid_buy_mean=2.8576 | grid_sell_mean=0.2254 | carbon_resp_mean=1.7640 | carbon_price=50.0000 | avg_agents=25.00 | lr=0.000075 | entropy_coef=0.0300
[Progress] Iter 260/1000 | avg_reward=89.9390 | p2p_mean=0.1219 | grid_buy_mean=2.7407 | grid_sell_mean=0.2085 | carbon_resp_mean=1.6550 | carbon_price=50.0000 | avg_agents=26.00 | lr=0.000074 | entropy_coef=0.0300
[Progress] Iter 265/1000 | avg_reward=91.9371 | p2p_mean=0.1295 | grid_buy_mean=2.7928 | grid_sell_mean=0.1666 | carbon_resp_mean=1.6909 | carbon_price=50.0000 | avg_agents=23.00 | lr=0.000074 | entropy_coef=0.0300
[Progress] Iter 270/1000 | avg_reward=89.3123 | p2p_mean=0.1003 | grid_buy_mean=2.7097 | grid_sell_mean=0.2162 | carbon_resp_mean=1.6603 | carbon_price=50.0000 | avg_agents=26.50 | lr=0.000073 | entropy_coef=0.0300
[Progress] Iter 275/1000 | avg_reward=90.5794 | p2p_mean=0.0979 | grid_buy_mean=2.8390 | grid_sell_mean=0.1843 | carbon_resp_mean=1.7111 | carbon_price=50.0000 | avg_agents=23.50 | lr=0.000073 | entropy_coef=0.0300
[Progress] Iter 280/1000 | avg_reward=89.4762 | p2p_mean=0.1110 | grid_buy_mean=2.7135 | grid_sell_mean=0.2069 | carbon_resp_mean=1.6595 | carbon_price=50.0000 | avg_agents=27.00 | lr=0.000072 | entropy_coef=0.0300
[Progress] Iter 285/1000 | avg_reward=89.4133 | p2p_mean=0.1183 | grid_buy_mean=2.7830 | grid_sell_mean=0.2164 | carbon_resp_mean=1.6810 | carbon_price=50.0000 | avg_agents=26.00 | lr=0.000072 | entropy_coef=0.0300
[Progress] Iter 290/1000 | avg_reward=90.3352 | p2p_mean=0.1107 | grid_buy_mean=2.8682 | grid_sell_mean=0.1928 | carbon_resp_mean=1.7305 | carbon_price=50.0000 | avg_agents=25.25 | lr=0.000071 | entropy_coef=0.0300
[Progress] Iter 295/1000 | avg_reward=89.9180 | p2p_mean=0.1284 | grid_buy_mean=2.8469 | grid_sell_mean=0.2018 | carbon_resp_mean=1.7124 | carbon_price=50.0000 | avg_agents=29.00 | lr=0.000071 | entropy_coef=0.0300
[Progress] Iter 300/1000 | avg_reward=90.0232 | p2p_mean=0.1310 | grid_buy_mean=2.8119 | grid_sell_mean=0.1896 | carbon_resp_mean=1.6911 | carbon_price=50.0000 | avg_agents=27.00 | lr=0.000070 | entropy_coef=0.0300
[Progress] Iter 305/1000 | avg_reward=90.8795 | p2p_mean=0.1528 | grid_buy_mean=2.8435 | grid_sell_mean=0.1991 | carbon_resp_mean=1.6937 | carbon_price=50.0000 | avg_agents=26.25 | lr=0.000070 | entropy_coef=0.0300
[Progress] Iter 310/1000 | avg_reward=90.2924 | p2p_mean=0.1391 | grid_buy_mean=2.8407 | grid_sell_mean=0.1928 | carbon_resp_mean=1.7010 | carbon_price=50.0000 | avg_agents=28.00 | lr=0.000069 | entropy_coef=0.0300
[Progress] Iter 315/1000 | avg_reward=89.2314 | p2p_mean=0.1633 | grid_buy_mean=2.9624 | grid_sell_mean=0.2281 | carbon_resp_mean=1.7369 | carbon_price=50.0000 | avg_agents=25.00 | lr=0.000069 | entropy_coef=0.0300
[Progress] Iter 320/1000 | avg_reward=88.8237 | p2p_mean=0.1731 | grid_buy_mean=2.9492 | grid_sell_mean=0.2123 | carbon_resp_mean=1.7303 | carbon_price=50.0000 | avg_agents=27.75 | lr=0.000068 | entropy_coef=0.0300
[Progress] Iter 325/1000 | avg_reward=89.4225 | p2p_mean=0.1693 | grid_buy_mean=2.8666 | grid_sell_mean=0.2266 | carbon_resp_mean=1.6906 | carbon_price=50.0000 | avg_agents=25.25 | lr=0.000068 | entropy_coef=0.0300
[Progress] Iter 330/1000 | avg_reward=87.2612 | p2p_mean=0.1609 | grid_buy_mean=3.0123 | grid_sell_mean=0.1998 | carbon_resp_mean=1.7635 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000067 | entropy_coef=0.0300
[Progress] Iter 335/1000 | avg_reward=86.7606 | p2p_mean=0.1594 | grid_buy_mean=3.0618 | grid_sell_mean=0.2201 | carbon_resp_mean=1.7836 | carbon_price=50.0000 | avg_agents=25.25 | lr=0.000067 | entropy_coef=0.0300
[Progress] Iter 340/1000 | avg_reward=86.1858 | p2p_mean=0.1897 | grid_buy_mean=3.0774 | grid_sell_mean=0.2297 | carbon_resp_mean=1.7941 | carbon_price=50.0000 | avg_agents=27.25 | lr=0.000066 | entropy_coef=0.0300
[Progress] Iter 345/1000 | avg_reward=88.0875 | p2p_mean=0.2018 | grid_buy_mean=2.9875 | grid_sell_mean=0.2498 | carbon_resp_mean=1.7389 | carbon_price=50.0000 | avg_agents=26.50 | lr=0.000066 | entropy_coef=0.0300
[Progress] Iter 350/1000 | avg_reward=86.5937 | p2p_mean=0.1977 | grid_buy_mean=3.0407 | grid_sell_mean=0.2444 | carbon_resp_mean=1.7610 | carbon_price=50.0000 | avg_agents=26.25 | lr=0.000065 | entropy_coef=0.0300
[Progress] Iter 355/1000 | avg_reward=88.2988 | p2p_mean=0.2326 | grid_buy_mean=2.9350 | grid_sell_mean=0.2245 | carbon_resp_mean=1.7116 | carbon_price=50.0000 | avg_agents=28.00 | lr=0.000065 | entropy_coef=0.0300
[Progress] Iter 360/1000 | avg_reward=90.1794 | p2p_mean=0.2200 | grid_buy_mean=2.9226 | grid_sell_mean=0.2018 | carbon_resp_mean=1.7019 | carbon_price=50.0000 | avg_agents=25.50 | lr=0.000064 | entropy_coef=0.0300
[Progress] Iter 365/1000 | avg_reward=89.5721 | p2p_mean=0.2298 | grid_buy_mean=2.9001 | grid_sell_mean=0.2019 | carbon_resp_mean=1.6878 | carbon_price=50.0000 | avg_agents=26.75 | lr=0.000064 | entropy_coef=0.0300
[Progress] Iter 370/1000 | avg_reward=89.9742 | p2p_mean=0.2218 | grid_buy_mean=2.9410 | grid_sell_mean=0.2059 | carbon_resp_mean=1.7248 | carbon_price=50.0000 | avg_agents=27.75 | lr=0.000063 | entropy_coef=0.0300
[Progress] Iter 375/1000 | avg_reward=90.3453 | p2p_mean=0.2124 | grid_buy_mean=2.9436 | grid_sell_mean=0.1970 | carbon_resp_mean=1.7138 | carbon_price=50.0000 | avg_agents=28.00 | lr=0.000063 | entropy_coef=0.0300
[Progress] Iter 380/1000 | avg_reward=90.4104 | p2p_mean=0.2466 | grid_buy_mean=3.0142 | grid_sell_mean=0.2254 | carbon_resp_mean=1.7358 | carbon_price=50.0000 | avg_agents=23.50 | lr=0.000062 | entropy_coef=0.0300
[Progress] Iter 385/1000 | avg_reward=89.9980 | p2p_mean=0.2395 | grid_buy_mean=2.9618 | grid_sell_mean=0.2218 | carbon_resp_mean=1.7160 | carbon_price=50.0000 | avg_agents=24.75 | lr=0.000062 | entropy_coef=0.0300
[Progress] Iter 390/1000 | avg_reward=88.3161 | p2p_mean=0.2398 | grid_buy_mean=3.0553 | grid_sell_mean=0.2132 | carbon_resp_mean=1.7265 | carbon_price=50.0000 | avg_agents=24.50 | lr=0.000061 | entropy_coef=0.0300
[Progress] Iter 395/1000 | avg_reward=90.8932 | p2p_mean=0.2675 | grid_buy_mean=2.8792 | grid_sell_mean=0.2132 | carbon_resp_mean=1.6548 | carbon_price=50.0000 | avg_agents=26.25 | lr=0.000061 | entropy_coef=0.0300
