method,method_label,mask_mode,seed,run_dir,checkpoint_episode,checkpoint_path,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_eval_episodes,attn_leakage_per_call,attn_calls,attn_entropy_mean,inactive_action_abs_mean
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,74.6691274854872,0.0,0.11291148295757074,0.0,2.6845073823763683,0.0,0.15668666084272678,0.0,2.841194043219095,0.0,2.012622764703702,0.0,30.0,1,nan,0.0,2.0292761983767234,nan
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,72.94946913719177,0.0,0.10542327735473904,0.0,2.9885717310397806,0.0,0.1557023166387925,0.0,3.144274047678573,0.0,2.202606405987757,0.0,20.0,1,0.0,1464.0,1.5099393240089625,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,69.02875904697858,0.0,0.12946448262877733,0.0,2.9804662922641048,0.0,0.13292387605697495,0.0,3.1133901683210796,0.0,2.2188367116448453,0.0,19.375,1,0.0,1464.0,1.5915477441959693,0.0
full_ours,Full / Ours,full,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed43_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,77.06028205156326,0.0,0.0,0.0,4.436018711542014,0.0,0.45181580007144584,0.0,4.887834511613461,0.0,3.1405175588790057,0.0,1.0,1,0.0,1464.0,0.0,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,77.5916228785045,0.0,0.40322673331924924,0.0,2.659510429466658,0.0,0.09055567274173583,0.0,2.7500661022083936,0.0,1.940520276161055,0.0,19.583333333333332,1,0.0,1464.0,1.9898402279680545,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,71.05431837462778,0.0,0.310003637932125,0.0,3.013929677782506,0.0,0.0420095206860767,0.0,3.055939198468583,0.0,2.1778843055638326,0.0,19.375,1,0.0,1464.0,1.9471651169120288,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,77.36993136827083,0.0,0.42654733085456664,0.0,2.5356915592197673,0.0,0.08670384049791392,0.0,2.622395399717681,0.0,1.907767832805351,0.0,25.75,1,0.0,1342.0,2.256609782006571,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,77.84756368001302,0.0,0.3289643699279928,0.0,2.5984681307082504,0.0,0.06573141319234149,0.0,2.664199543900592,0.0,1.9508923591652512,0.0,30.0,1,nan,0.0,2.3778647135515683,nan
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,72.6753181139628,0.0,0.32794763955523015,0.0,3.189604988009883,0.0,0.07340206904133038,0.0,3.263007057051213,0.0,2.2040249242184777,0.0,20.0,1,0.0,1464.0,1.834818695738016,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,71.05431837462778,0.0,0.310003637932125,0.0,3.013929677782506,0.0,0.0420095206860767,0.0,3.055939198468583,0.0,2.1778843055638326,0.0,19.375,1,0.0,1464.0,1.9401120608621607,0.0
full_ours,Full / Ours,full,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed44_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,78.3199946085612,0.0,0.0,0.0,4.400436796334759,0.0,0.41899989104829194,0.0,4.819436687383051,0.0,3.1180430282167446,0.0,1.0,1,0.0,1464.0,0.0,0.0
without_structured_mask,w/o Structured Mask,obs_only,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,77.30414071533274,0.0,0.36951319543005173,0.0,2.517341592738116,0.0,0.1280898402387489,0.0,2.645431432976865,0.0,1.9493421220210936,0.0,19.583333333333332,1,nan,0.0,2.195882452804534,0.7428578090667725
without_structured_mask,w/o Structured Mask,obs_only,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,71.54853375815958,0.0,0.2940223579950804,0.0,2.9066858701939555,0.0,0.08350712385343813,0.0,2.9901929940473937,0.0,2.1706298145528655,0.0,19.375,1,nan,0.0,2.174549908423033,0.7366795471291137
without_structured_mask,w/o Structured Mask,obs_only,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,76.74814600170168,0.0,0.41092590871052015,0.0,2.541926620437714,0.0,0.1327987208943847,0.0,2.6747253413320986,0.0,1.9212655882683318,0.0,25.75,1,nan,0.0,2.1980967161759652,0.75300705043319
without_structured_mask,w/o Structured Mask,obs_only,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,77.0166729397244,0.0,0.29676546894361283,0.0,2.621826822575468,0.0,0.09722210444607021,0.0,2.7190489270215386,0.0,1.9675763876931047,0.0,30.0,1,nan,0.0,2.1800002116160315,nan
without_structured_mask,w/o Structured Mask,obs_only,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,75.10122998555501,0.0,0.3063193115885476,0.0,2.930542108500889,0.0,0.1048712951180652,0.0,3.0354134036189544,0.0,2.1613926291841334,0.0,20.0,1,nan,0.0,2.1275767830958783,0.7647995498445299
without_structured_mask,w/o Structured Mask,obs_only,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,71.56152172118162,0.0,0.2757956469698241,0.0,2.902906695854566,0.0,0.08158259090589288,0.0,2.984489286760459,0.0,2.1703468242105877,0.0,19.375,1,nan,0.0,2.196053983979538,0.7270403618906058
without_structured_mask,w/o Structured Mask,obs_only,42,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed42_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,85.57151273886363,0.0,0.0,0.0,4.191623838672562,0.0,0.18960311193186605,0.0,4.381226950604429,0.0,2.975194562105911,0.0,1.0,1,nan,0.0,2.3801521611669676,0.8059132747723226
without_structured_mask,w/o Structured Mask,obs_only,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,72.78938098919127,0.0,0.037168851488015055,0.0,2.6407237424497336,0.0,0.2516489455374225,0.0,2.892372687987156,0.0,2.036307391817832,0.0,19.583333333333332,1,nan,0.0,2.120956402170202,0.7570002587636312
without_structured_mask,w/o Structured Mask,obs_only,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,67.79468756190327,0.0,0.0609890885494602,0.0,3.003548012590711,0.0,0.17298930717226269,0.0,3.1765373197629736,0.0,2.2430443492640975,0.0,19.375,1,nan,0.0,2.1314172152775885,0.7575694190131294
without_structured_mask,w/o Structured Mask,obs_only,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,72.61612223341966,0.0,0.0693244010596679,0.0,2.654041663494715,0.0,0.22584440369275896,0.0,2.879886067187474,0.0,2.000350334709346,0.0,25.75,1,nan,0.0,2.033035945208346,0.7419715582155714
without_structured_mask,w/o Structured Mask,obs_only,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,73.60877516004774,0.0,0.05129404741306028,0.0,2.7145378874901525,0.0,0.18643289705572622,0.0,2.9009707845458785,0.0,2.0330490331584214,0.0,30.0,1,nan,0.0,2.0276242494990266,nan
without_structured_mask,w/o Structured Mask,obs_only,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422\models\transformer_10000.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,72.18943498929342,0.0,0.037024950677226436,0.0,3.0119328736261117,0.0,0.1759196345866291,0.0,3.1878525082127407,0.0,2.2172157468681823,0.0,20.0,1,nan,0.0,2.0829339051018647,0.7606648339165581
without_structured_mask,w/o Structured Mask,obs_only,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422\models\transformer_10000.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,68.27440026570441,0.0,0.07952478323873714,0.0,2.9939336491664506,0.0,0.14862980368133188,0.0,3.1425634528477824,0.0,2.233530647531239,0.0,19.375,1,nan,0.0,2.035527971924328,0.6525873221603095
without_structured_mask,w/o Structured Mask,obs_only,43,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed43_20260422\models\transformer_10000.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,86.59793152411778,0.0,0.0,0.0,4.162971099135755,0.0,0.1590690220902865,0.0,4.322040121226042,0.0,2.9552862513399063,0.0,1.0,1,nan,0.0,2.4261954596133832,0.8098484528932535
without_structured_mask,w/o Structured Mask,obs_only,44,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed44_20260422,10000,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\paper_ablation_mask_obs_only_10000ep_seed44_20260422\models\transformer_10000.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,78.22259219989863,0.0,0.34471030104727246,0.0,2.50541575128646,0.0,0.0657014933795479,0.0,2.571117244666008,0.0,1.9302058666600086,0.0,19.583333333333332,1,nan,0.0,2.0833859828000514,0.27126560878753664
